"time","date","flight_time","depth","heading","battery_remaining","lat","lon","satellite_count","temp","seq","avg_dist","avg_conf","EucDIS","clock","clock_min","lat_smooth","lon_smooth","EucSmooth"
"11:02:45","3/30/2023","00:17:10",-6.06552,252,83,47.6301422,-122.3980712,10,46.38,17.2,0.965555555555556,100,0.42233748925511,65,1.08333333333333,47.630140905477,-122.398076580673,0.12250980521613
"11:02:46","3/30/2023","00:17:11",-6.06552,252,83,47.6301422,-122.3980636,10,46.38,17.2166666666667,1.01277777777778,100,0.570980458512677,66,1.1,47.6301404663357,-122.398075217104,0.113475934179965
"11:02:47","3/30/2023","00:17:12",-6.096,252,83,47.6301422,-122.3980636,10,46.38,17.2333333333333,1.02655555555556,100,0,67,1.11666666666667,47.6301400136219,-122.398073983776,0.105438441082228
"11:02:48","3/30/2023","00:17:14",-6.12648,252,83,47.6301422,-122.3980636,10,46.38,17.25,1.01533333333333,100,0,68,1.13333333333333,47.6301396677179,-122.398072627034,0.108939543252533
"11:02:49","3/30/2023","00:17:14",-6.12648,252,83,47.6301383,-122.3980712,10,46.4,17.2666666666667,0.998333333333333,100,0.716867510398015,69,1.15,47.6301393160594,-122.398071240723,0.11124398429615
"11:02:50","3/30/2023","00:17:15",-6.12648,252,83,47.6301345,-122.3980789,10,46.38,17.2833333333333,0.994777777777778,100,0.716256655406593,70,1.16666666666667,47.6301390178693,-122.398069818013,0.111906777657847
"11:02:51","3/30/2023","00:17:16",-6.096,252,83,47.6301307,-122.3980789,10,46.38,17.3,0.997333333333333,100,0.422337486130517,71,1.18333333333333,47.6301387710685,-122.398068255837,0.120527526298522
"11:02:52","3/30/2023","00:17:17",-6.096,252,83,47.6301307,-122.3980789,10,46.38,17.3166666666667,1.00133333333333,100,0,72,1.2,47.6301385122954,-122.398066771437,0.115170307872245
"11:02:53","3/30/2023","00:17:18",-6.096,252,83,47.6301307,-122.3980789,10,46.38,17.3333333333333,1,100,0,73,1.21666666666667,47.6301383008184,-122.398064918768,0.141159734349312
"11:02:54","3/30/2023","00:17:19",-6.12648,252,83,47.6301307,-122.3980712,10,46.36,17.35,0.991555555555556,100,0.578493487557178,74,1.23333333333333,47.6301380851319,-122.398063159225,0.134348637436414
"11:02:55","3/30/2023","00:17:20",-6.12648,252,83,47.6301269,-122.3980789,10,46.38,17.3666666666667,0.982333333333333,100,0.716256723092364,75,1.25,47.6301379117844,-122.398061191778,0.149062685236537
"11:02:56","3/30/2023","00:17:21",-6.096,252,83,47.6301269,-122.3980865,10,46.38,17.3833333333333,0.982888888888889,100,0.570980624456145,76,1.26666666666667,47.6301378276575,-122.398059156623,0.153184785406209
"11:02:57","3/30/2023","00:17:22",-6.096,253,83,47.6301307,-122.3980712,10,46.38,17.4,0.990555555555556,100,1.22460593209921,77,1.28333333333333,47.6301377203881,-122.398057069913,0.157225164486479
"11:02:58","3/30/2023","00:17:23",-6.096,253,83,47.6301307,-122.3980712,10,46.36,17.4166666666667,0.9959,100,0,78,1.3,47.6301376375388,-122.398054847774,0.167200812625038
"11:02:59","3/30/2023","00:17:24",-6.096,253,83,47.6301307,-122.3980712,10,46.38,17.4333333333333,0.979222222222222,100,0,79,1.31666666666667,47.6301375774901,-122.398052502421,0.176330393108968
"11:03:00","3/30/2023","00:17:25",-6.12648,253,83,47.6301307,-122.3980712,10,46.38,17.45,0.953222222222222,100,0,80,1.33333333333333,47.6301375389885,-122.398050166174,0.17557213493768
"11:03:01","3/30/2023","00:17:26",-6.12648,253,83,47.6301307,-122.3980712,10,46.38,17.4666666666667,0.954555555555555,100,0,81,1.35,47.6301374596233,-122.39804784738,0.174431885476639
"11:03:02","3/30/2023","00:17:27",-6.096,253,83,47.6301307,-122.3980712,10,46.36,17.4833333333333,0.965555555555556,100,0,82,1.36666666666667,47.6301373874116,-122.398045553494,0.172524111521815
"11:03:03","3/30/2023","00:17:28",-6.06552,253,83,47.6301307,-122.3980712,10,46.38,17.5,0.971555555555556,100,0,83,1.38333333333333,47.6301373092093,-122.3980433151,0.168392836158685
