meter_number,timestamp,strftime,cumulative_dist,step_distance_m,gap_seconds,quality_flag,x,y
55,1738001660.15874,2025_01_27_10-14-20,55.0014,0.0265,0.33,good,18.94886652628581,-15.493643921999196
56,1738001672.054142,2025_01_27_10-14-32,56.0097,0.0288,0.33,good,19.915758151913163,-15.779845299412361
57,1738001683.884873,2025_01_27_10-14-43,57.0227,0.0283,2.02,ok,20.892668130979015,-16.047334633063322
58,1738001695.566311,2025_01_27_10-14-55,58.0207,0.0273,0.32,good,21.839612457882705,-16.361097036902585
59,1738001707.498533,2025_01_27_10-15-07,59.0253,0.0289,0.34,good,22.78030543540841,-16.71364286527112
60,1738001718.727826,2025_01_27_10-15-18,60.0048,0.0289,0.34,good,23.70099925520408,-17.048006408843236
61,1738001730.503094,2025_01_27_10-15-30,61.0224,0.028,0.33,good,24.64863658544436,-17.418618596015286
62,1738001742.598872,2025_01_27_10-15-42,62.0133,0.0281,0.33,good,25.56699627548901,-17.790341078345456
63,1738001754.381038,2025_01_27_10-15-54,63.0028,0.0288,0.34,good,26.4503099526932,-18.235685339021444
64,1738001765.394327,2025_01_27_10-16-05,64.0012,0.0323,0.34,good,27.320745022142706,-18.724590130706332
65,1738001775.740683,2025_01_27_10-16-15,65.0301,0.0316,0.33,good,28.19325880743378,-19.269083687322055
66,1738001786.28304,2025_01_27_10-16-26,66.0104,0.0321,0.35,good,28.972099607856713,-19.863815393020857
67,1738001796.61493,2025_01_27_10-16-36,67.0096,0.033,0.31,good,29.747566612205695,-20.493997991381594
68,1738001806.450749,2025_01_27_10-16-46,68.0255,0.0342,0.33,good,30.533361748083315,-21.13776206970215
69,1738001816.174796,2025_01_27_10-16-56,69.0188,0.0352,0.34,good,31.31547923111797,-21.75011408981399
70,1738001825.53418,2025_01_27_10-17-05,70.0158,0.0363,0.34,good,32.11150470183264,-22.350265797097883
71,1738001834.746104,2025_01_27_10-17-14,71.0277,0.0367,0.33,good,32.907972696408706,-22.974444014516042
72,1738001843.542953,2025_01_27_10-17-23,72.0131,0.0385,0.33,good,33.69259691950101,-23.57051341687862
73,1738001852.059067,2025_01_27_10-17-32,73.0305,0.0394,0.33,good,34.51350992117355,-24.171499147937073
74,1738001860.453723,2025_01_27_10-17-40,74.0222,0.0403,0.33,good,35.30537777041914,-24.7685060928117
75,1738001868.743514,2025_01_27_10-17-48,75.0273,0.0404,0.33,good,36.09466368642019,-25.39071282344078
76,1738001876.915735,2025_01_27_10-17-56,76.0049,0.0409,0.32,good,36.842651006594224,-26.01997318552501
77,1738001885.096848,2025_01_27_10-18-05,77.0222,0.0401,0.34,good,37.592773399542814,-26.707135897963795
78,1738001893.529507,2025_01_27_10-18-13,78.009,0.0387,0.33,good,38.29629590618077,-27.39897772566003
79,1738001902.417265,2025_01_27_10-18-22,79.0196,0.0364,0.33,good,38.99661401017981,-28.12745474820113
80,1738001911.649304,2025_01_27_10-18-31,80.0289,0.0357,0.34,good,39.64111941133566,-28.90391682866794
81,1738001921.06859,2025_01_27_10-18-41,81.019,0.0351,0.33,good,40.2225936396205,-29.704929674442727
82,1738001930.935915,2025_01_27_10-18-50,82.0293,0.0323,0.33,good,40.77748162948077,-30.549202088692887
83,1738001941.447934,2025_01_27_10-19-01,83.0104,0.0309,0.32,good,41.275391099464834,-31.394487741574718
84,1738001952.532651,2025_01_27_10-19-12,84.0011,0.0299,0.33,good,41.78049431036954,-32.246752582379244
85,1738001963.895557,2025_01_27_10-19-23,85.0112,0.0299,0.58,good,42.2969032970827,-33.11477329956358
86,1738001974.809276,2025_01_27_10-19-34,86.0041,0.0303,0.33,good,42.834891475848295,-33.949337347229914
87,1738001985.847826,2025_01_27_10-19-45,87.0301,0.0304,0.33,good,43.38506708097695,-34.81531896638633
88,1738001996.674026,2025_01_27_10-19-56,88.0154,0.0316,0.33,good,43.889981777513796,-35.66131257773632
89,1738002007.28913,2025_01_27_10-20-07,89.0187,0.0309,0.34,good,44.38832060021547,-36.5320170198507
90,1738002018.159384,2025_01_27_10-20-18,90.0282,0.0294,0.34,good,44.868856819114875,-37.419777201182804
91,1738002029.73596,2025_01_27_10-20-29,91.0058,0.0285,0.34,good,45.342636032484066,-38.27481118956609
92,1738002041.462884,2025_01_27_10-20-41,92.0275,0.028,0.34,good,45.812226765191376,-39.182092334500595
93,1738002053.621138,2025_01_27_10-20-53,93.0126,0.027,0.33,good,46.27159374863354,-40.05339031314375
94,1738002065.86627,2025_01_27_10-21-05,94.0196,0.0282,0.33,good,46.731283728756125,-40.949216017082556
95,1738002076.905714,2025_01_27_10-21-16,95.0171,0.0316,0.33,good,47.25226327317271,-41.79903707931291
96,1738002087.154758,2025_01_27_10-21-27,96.0257,0.0333,0.35,good,47.824116284574444,-42.629738290511554
97,1738002097.271678,2025_01_27_10-21-37,97.013,0.0327,0.33,good,48.41288539070395,-43.42234933198388
98,1738002107.598442,2025_01_27_10-21-47,98.012,0.0313,0.33,good,49.035421096270355,-44.20348832619131
99,1738002120.980127,2025_01_27_10-22-00,99.0034,0.0175,0.33,good,49.70276416716028,-44.93572491505107
100,1738002140.485544,2025_01_27_10-22-20,100.0091,0.0147,0.34,good,50.46346673657817,-45.5919311277328
