meter_number_dvl,timestamp_dvl,cumulative_dist_dvl,increment_dvl,x_dvl,y_dvl,gps_lat,gps_lon,meter_number_ekf,timestamp_ekf,cumulative_dist_ekf,increment_ekf,lat_ekf,lon_ekf
36,2025_10_08_11-06-01,36.0609033846873,1.0476482807028304,-17.904287338256836,-1.3095577955245972,47.6259474,-122.3755323,12367496,2025_10_08_11-06-01,12367496.002355441,1.002205166965723,47.6259396,-122.3755686
37,2025_10_08_11-06-04,37.005641946949126,0.9447385622618256,-18.769365310668945,-1.6716887950897217,47.6259343,-122.3755318,12367496,2025_10_08_11-06-01,12367496.918640133,1.002205166965723,47.6259321,-122.3755734
38,2025_10_08_11-06-11,38.05052025554315,1.044878308594022,-19.450538635253906,-1.610729455947876,47.6259178,-122.3755155,12367498,2025_10_08_11-06-11,12367498.027703922,0.9548630770295858,47.6259253,-122.375573
39,2025_10_08_11-06-17,39.05145389746356,1.0009336419204118,-20.137632369995117,-1.5552271604537964,47.6259213,-122.3755442,12367499,2025_10_08_11-06-17,12367499.00888157,0.9811776485294104,47.6259195,-122.3755718
40,2025_10_08_11-06-20,40.01951004209598,0.9680561446324205,-21.043977737426758,-1.8354077339172363,47.6259122,-122.3755287,12367499,2025_10_08_11-06-17,12367499.954984069,0.9811776485294104,47.6259116,-122.3755757
41,2025_10_08_11-06-23,41.04578684620265,1.026276804106672,-21.973825454711914,-2.2362778186798096,47.6258993,-122.3755223,12367501,2025_10_08_11-06-23,12367501.0304001,0.9972257949411869,47.6259028,-122.3755811
42,2025_10_08_11-06-27,42.052569898326254,1.0067830521236019,-22.911888122558594,-2.5918333530426025,47.6258893,-122.3755325,12367502,2025_10_08_11-06-27,12367502.01348323,0.9830831307917833,47.6258946,-122.3755859
43,2025_10_08_11-06-30,43.05286463356753,1.000294735241276,-23.86842155456543,-2.8135151863098145,47.6258758,-122.375506,12367502,2025_10_08_11-06-27,12367502.99114197,0.9830831307917833,47.6258862,-122.3755889
44,2025_10_08_11-06-33,44.017198014837206,0.9643333812696753,-24.830516815185547,-2.791032314300537,47.625872,-122.3755115,12367503,2025_10_08_11-06-30,12367503.949715588,1.044368563219905,47.6258776,-122.3755886
45,2025_10_08_11-06-36,45.04564920206961,1.028451187232406,-25.839542388916016,-2.8330259323120117,47.6258615,-122.3754897,12367505,2025_10_08_11-06-36,12367505.04574729,1.0178414657711983,47.625868,-122.3755891
46,2025_10_08_11-06-40,46.09337215501208,1.0477229529424648,-26.767030715942383,-3.190194606781006,47.6258506,-122.3754808,12367506,2025_10_08_11-06-40,12367506.014885558,0.9691382683813572,47.6258604,-122.3755939
47,2025_10_08_11-06-43,47.110314362383754,1.0169422073716774,-27.76818084716797,-3.026533842086792,47.6258436,-122.3754951,12367507,2025_10_08_11-06-43,12367507.00681456,0.9919290021061897,47.6258516,-122.3755922
