"SU","transect","min","Date","Time","Mode_num","Mode","V","A","W","log_W","Ah","mAh","Wh","Latitude","Longitude","EKFlat","EKFlon","DVLx","DVLy","DVLlat","DVLlon","Altitude","Depth","Depth_std","Depth_Source","Heading","Velocity_mps","Width","Area_m2","Distance","NEDz","VFR_alt"
67,"0",1.12,"2026-05-12","09:18:06",NA,"UNKNOWN",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0.216316714882851,0,0,0,NA,0
68,"0",1.13,"2026-05-12","09:18:07",NA,"UNKNOWN",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0.216316714882851,0,0,0,NA,0
69,"0",1.15,"2026-05-12","09:18:08",NA,"UNKNOWN",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0.216316714882851,0,0,0,NA,0
70,"0",1.17,"2026-05-12","09:18:09",NA,"UNKNOWN",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0.216316714882851,0,0,0,NA,0
71,"0",1.18,"2026-05-12","09:18:10",NA,"UNKNOWN",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0.216316714882851,0,0,0,NA,0
72,"0",1.2,"2026-05-12","09:18:11",NA,"UNKNOWN",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0.216316714882851,0,0,0,NA,0
73,"0",1.22,"2026-05-12","09:18:12",NA,"UNKNOWN",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,3.35689115524292,0,0,0,NA,0
74,"0",1.23,"2026-05-12","09:18:13",NA,"UNKNOWN",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,3.35689115524292,0,0,0,NA,0
75,"0",1.25,"2026-05-12","09:18:14",NA,"UNKNOWN",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,3.35689115524292,0,0,0,NA,0
76,"0",1.27,"2026-05-12","09:18:15",NA,"UNKNOWN",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,3.35689115524292,0,0,0,NA,0
77,"0",1.28,"2026-05-12","09:18:16",NA,"UNKNOWN",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,3.35689115524292,0,0,0,NA,0
78,"0",1.3,"2026-05-12","09:18:17",NA,"UNKNOWN",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,3.35689115524292,0,0,0,NA,0
