"","X","time","date","flight_time","depth","heading","battery_remaining","lat","lon","satellite_count","temp","seq","avg_dist","avg_conf","EucDIS","clock","clock_min","lat_smooth","lon_smooth","EucSmooth","heading_degrees","radians","sim_x","sim_y","sim_steps","width","height","area"
"136",136,"14:07:42","10/6/2022","00:25:59",-6.096,270,88,47.6303253,-122.3985977,10,55,26.0166666666667,0.968444444444444,100,0,136,2.26666666666667,47.6303097488634,-122.398582717705,0.134371826663494,270,4.7123895,47.6303758485936,-122.398542069035,2.57029182441621e-06,2.71541807436794,1.18692703765059,3.2230031309924
"137",137,"14:07:43","10/6/2022","00:26:00",-6.12648,270,88,47.6303253,-122.3985977,10,55,26.0333333333333,0.973555555555556,100,0,137,2.28333333333333,47.6303087849938,-122.398584043466,0.146275964548657,270,4.7123895,47.6303758485942,-122.398543172711,1.10367568275732e-06,2.72974910137815,1.19319122348491,3.25711267008022
"138",138,"14:07:44","10/6/2022","00:26:01",-6.096,270,88,47.6303253,-122.3985977,10,55,26.05,0.972333333333333,100,0,138,2.3,47.6303074418385,-122.398585262304,0.17512743442867,270,4.7123895,47.6303758485942,-122.398543172711,0,2.72632211665831,1.19169326600279,3.24893970737618
"139",139,"14:07:45","10/6/2022","00:26:02",-6.12648,271,88,47.6303253,-122.3985977,10,55,26.0666666666667,0.9617,100,0,139,2.31666666666667,47.6303055317615,-122.39858598654,0.219150742978024,271,4.72984279444444,47.6303758485942,-122.398543172711,0,2.69650734959578,1.17866103590835,3.17826814600903
"140",140,"14:07:46","10/6/2022","00:26:03",-6.12648,270,88,47.6303253,-122.3985977,10,55,26.0833333333333,0.957555555555555,100,0,140,2.33333333333333,47.6303031526264,-122.398586364403,0.265940040677842,270,4.7123895,47.6303758485952,-122.398545174735,2.00202397085134e-06,2.6848867559549,1.17358159826443,3.15093369021255
"141",141,"14:07:47","10/6/2022","00:26:04",-6.12648,271,88,47.6303253,-122.3986053,10,55,26.1,0.957777777777778,100,0.570978438608853,141,2.35,47.6303002769487,-122.398586432372,0.31964776490314,271,4.72984279444444,47.63037588552,-122.398547290092,2.11567955516505e-06,2.68550984408578,1.17385395417027,3.15239634944328
"142",142,"14:07:48","10/6/2022","00:26:05",-6.12648,270,88,47.63028714,-122.39858852,10,55,26.1166666666667,0.956222222222222,100,4.42455444920171,142,2.36666666666667,47.6302969330223,-122.398586226568,0.371970292285777,270,4.7123895,47.6303758855204,-122.398548060871,7.70778827252947e-07,2.68114822716963,1.17194746282939,3.14216486230097
"143",143,"14:07:49","10/6/2022","00:26:06",-6.12648,271,88,47.63024898,-122.39857174,10,55,26.1333333333333,0.962222222222222,100,4.42455469091242,143,2.38333333333333,47.6302930778525,-122.398585925473,0.429065850552904,271,4.72984279444444,47.6303759153057,-122.398549767216,1.7066048149851e-06,2.69797160670335,1.17930107228707,3.18172080878532
"144",144,"14:07:50","10/6/2022","00:26:07",-6.12648,271,88,47.63021082,-122.39855496,10,55,26.15,0.961555555555555,100,4.42455493207935,144,2.4,47.630288793878,-122.398585313743,0.47834005359289,271,4.72984279444444,47.6303759367728,-122.398550997029,1.23000000004173e-06,2.69610234231071,1.17848400456955,3.17731348509567
"145",145,"14:07:51","10/6/2022","00:26:08",-6.12648,272,88,47.63017266,-122.39853818,10,55,26.1666666666667,0.946888888888889,100,4.42455517317895,145,2.41666666666667,47.6302841077208,-122.398584538202,0.524075253968704,272,4.74729608888889,47.6303760038135,-122.398552916796,1.92093726815544e-06,2.65497852567274,1.16050851478411,3.08112518561218
"146",146,"14:07:52","10/6/2022","00:26:09",-6.12648,272,88,47.6301345,-122.3985214,10,55,26.1833333333333,0.942111111111111,100,4.42455541287817,146,2.43333333333333,47.630279045796,-122.398583634173,0.566674530435427,272,4.74729608888889,47.6303760651314,-122.398554672683,1.75695760100729e-06,2.64158213085886,1.15465286280855,3.05011036974009
"147",147,"14:07:53","10/6/2022","00:26:10",-6.12648,272,88,47.6301574,-122.398529,10,55,26.2,0.960555555555555,100,2.60840009640996,147,2.45,47.6302736342496,-122.398582492324,0.607534167158485,272,4.74729608888889,47.6303760793035,-122.398555078514,4.06078801689676e-07,2.69329844572176,1.17725840299327,3.17070822699465
"148",148,"14:07:54","10/6/2022","00:26:11",-6.12648,271,88,47.6301803,-122.3985366,10,55,26.2166666666667,0.9595,100,2.60840004764182,148,2.46666666666667,47.6302678988962,-122.398581257468,0.644151255752275,271,4.72984279444444,47.6303761198233,-122.39855739982,2.32165889419063e-06,2.69033877710009,1.17596471244053,3.16374346638011
"149",149,"14:07:55","10/6/2022","00:26:12",-6.12648,269,88,47.6301994,-122.3985443,10,54.99,26.2333333333333,0.945333333333333,100,2.20021368102634,149,2.48333333333333,47.6302619364908,-122.398579818789,0.671427294656503,269,4.69493620555556,47.6303760868374,-122.398559289638,1.89010581150689e-06,2.65061690875659,1.15860202344323,3.07101011385823
"150",150,"14:07:56","10/6/2022","00:26:13",-6.12648,272,88,47.6302146,-122.3985519,10,55.02,26.25,0.942111111111111,100,1.78323328745696,150,2.5,47.6302557178824,-122.398578316276,0.70030272908562,272,4.74729608888889,47.6303761551639,-122.398561246224,1.95777936044876e-06,2.64158213085886,1.15465286280855,3.05011036974009
"151",151,"14:07:57","10/6/2022","00:26:14",-6.096,272,88,47.6302223,-122.3985519,10,55,26.2666666666667,0.948222222222222,100,0.855789099316182,151,2.51666666666667,47.6302492691414,-122.398576921053,0.724346945352155,272,4.74729608888889,47.6303762238212,-122.398563212283,1.96725697614105e-06,2.65871705445801,1.16214265021915,3.08980848385069
"152",152,"14:07:58","10/6/2022","00:26:15",-6.12648,272,88,47.6302337,-122.3985595,10,55,26.2833333333333,0.951111111111111,100,1.38972590739296,152,2.53333333333333,47.6302425444922,-122.398575553203,0.754419180527073,272,4.74729608888889,47.630376294682,-122.39856524144,2.03039404554341e-06,2.66681720015943,1.16568327699507,3.10866421302866
"153",153,"14:07:59","10/6/2022","00:26:16",-6.12648,271,88,47.6302452,-122.3985671,10,55.02,26.3,0.946111111111111,100,1.39986606580378,153,2.55,47.6302356230349,-122.39857424419,0.775521600707921,271,4.72984279444444,47.630376294682,-122.39856524144,0,2.65279771721467,1.15955526911367,3.07606557088899
"154",154,"14:08:00","10/6/2022","00:26:17",-6.12648,271,88,47.6302528,-122.3985748,10,55.02,26.3166666666667,0.932111111111111,100,1.02378169673133,154,2.56666666666667,47.6302285988297,-122.398572597561,0.790421234433412,271,4.72984279444444,47.6303763017693,-122.398565647457,4.06078815687801e-07,2.61354316496933,1.14239684704575,2.98570347127894
"155",155,"14:08:01","10/6/2022","00:26:18",-6.096,271,88,47.6302566,-122.3985748,10,55,26.3333333333333,0.916777777777778,100,0.422337481989241,155,2.58333333333333,47.6302215110572,-122.398570969689,0.797182500024388,271,4.72984279444444,47.6303763145242,-122.398566378167,7.30821457562597e-07,2.57055008393872,1.1236042895428,2.88828110079814
"156",156,"14:08:02","10/6/2022","00:26:19",-6.096,271,88,47.6302566,-122.3985748,10,55,26.35,0.920222222222222,100,0,156,2.6,47.6302143996954,-122.398569382688,0.799309506863666,271,4.72984279444444,47.6303763287299,-122.398567191984,8.13941038662055e-07,2.58020794996734,1.12782580608331,2.91002511103449
"157",157,"14:08:03","10/6/2022","00:26:20",-6.096,271,88,47.6302604,-122.3985977,10,55.02,26.3666666666667,0.934222222222222,100,1.77152998210925,157,2.61666666666667,47.6302072341923,-122.398567858487,0.804574986203222,271,4.72984279444444,47.6303763287299,-122.398567191984,0,2.61946250221267,1.14498422815123,2.99924325126707
"158",158,"14:08:04","10/6/2022","00:26:21",-6.06552,268,88,47.630268,-122.3986053,10,55,26.3833333333333,0.9457,100,1.01955525689593,158,2.63333333333333,47.6302000389225,-122.39856641887,0.806973519105864,268,4.67748291111111,47.6303762598444,-122.398569164636,1.97385408955975e-06,2.65164500417254,1.15905141068787,3.07339288272962
"159",159,"14:08:05","10/6/2022","00:26:22",-6.096,270,88,47.6302719,-122.3986129,10,55,26.4,0.951333333333333,100,0.716866359341044,159,2.65,47.63019290879,-122.398564940969,0.800193994130553,270,4.7123895,47.630376259845,-122.398570305907,1.1412712168002e-06,2.66744028829031,1.16595563290091,3.11011702955891
"160",160,"14:08:06","10/6/2022","00:26:23",-6.096,272,88,47.6302757,-122.3986129,10,55,26.4166666666667,0.950888888888889,100,0.422337480388576,160,2.66666666666667,47.6301858123863,-122.39856355605,0.795538000381301,272,4.74729608888889,47.6303763376689,-122.398572534459,2.22991031449757e-06,2.66619411202855,1.16541092108923,3.10721173590188
"161",161,"14:08:07","10/6/2022","00:26:24",-6.12648,272,88,47.6302795,-122.3986129,10,54.99,26.4333333333333,0.94,100,0.422337479458184,161,2.68333333333333,47.6301787731205,-122.398562282409,0.788184039879851,272,4.74729608888889,47.6303764043453,-122.398574443792,1.91049731486223e-06,2.63566279361551,1.15206548170307,3.03645612593352
"162",162,"14:08:08","10/6/2022","00:26:25",-6.096,271,88,47.6302795,-122.3986129,10,55,26.45,0.923444444444445,100,0,162,2.7,47.6301718134891,-122.398561138215,0.778265426169858,271,4.72984279444444,47.6303764278394,-122.39857578973,1.34614263748124e-06,2.58924272786507,1.131774966718,2.93044010215431
"163",163,"14:08:09","10/6/2022","00:26:26",-6.06552,272,88,47.6302833,-122.3986206,10,55,26.4666666666667,0.917888888888889,100,0.716255335754978,163,2.71666666666667,47.6301650282302,-122.398560141552,0.757831728441958,272,4.74729608888889,47.6303764873345,-122.39857749342,1.7047287121717e-06,2.57366552459311,1.124966069072,2.89528638830763
"164",164,"14:08:10","10/6/2022","00:26:27",-6.06552,272,88,47.6302871,-122.3986206,10,55,26.4833333333333,0.927666666666667,100,0.422337480068094,164,2.73333333333333,47.6301583823032,-122.398559310455,0.741272306023924,272,4.74729608888889,47.6303765483736,-122.398579241326,1.74897113034426e-06,2.60108140235176,1.13694972892895,2.95729879532598
"165",165,"14:08:11","10/6/2022","00:26:28",-6.096,272,88,47.6302871,-122.3986206,10,55,26.5,0.946666666666667,100,0,165,2.75,47.6301518967889,-122.398558520276,0.723249914180539,272,4.74729608888889,47.6303766481663,-122.398582098972,2.85938804778008e-06,2.65435543754186,1.16023615887827,3.07967915715123
